,carat,cut,color,clarity,depth,table,x,y,z,city,price
3106,0.93,Very Good,E,VS2,61.4,58.0,6.22,6.29,3.84,Kimberly,5616
3107,0.76,Ideal,F,SI1,61.4,56.0,5.88,5.92,3.62,Kimberly,2894
3108,0.91,Premium,E,VS1,62.9,56.0,6.21,6.13,3.88,Kimberly,5228
3109,0.57,Very Good,F,VVS1,61.9,56.0,5.31,5.34,3.29,Kimberly,2591
3110,0.5,Fair,F,SI1,65.1,59.0,5.01,4.92,3.23,Kimberly,994
3111,0.4,Very Good,F,VVS2,60.5,57.0,4.76,4.79,2.89,Kimberly,982
3112,0.72,Premium,F,SI1,59.3,59.0,5.85,5.81,3.46,Kimberly,2360
3113,1.13,Premium,H,VS1,58.9,58.0,6.81,6.78,4.0,Kimberly,6005
3114,0.42,Premium,E,VS1,59.5,59.0,4.88,4.86,2.9,Kimberly,1181
3115,0.52,Ideal,F,VS2,60.3,57.0,5.2,5.24,3.15,Kimberly,1429
3116,1.01,Good,D,SI2,63.6,57.0,6.35,6.39,4.05,Kimberly,4719
3117,1.15,Ideal,D,SI2,61.7,57.0,6.72,6.76,4.16,Kimberly,5891
3118,1.07,Ideal,F,VS2,61.0,54.0,6.59,6.62,4.03,Kimberly,7564
3119,0.73,Ideal,I,VS1,61.5,55.0,5.8,5.84,3.58,Kimberly,2908
3120,0.43,Premium,H,SI1,60.2,57.0,4.93,4.91,2.96,Kimberly,919
3121,0.72,Premium,F,VVS2,61.6,59.0,5.78,5.72,3.54,Kimberly,3105
3122,0.34,Ideal,G,IF,60.7,57.0,4.51,4.55,2.75,Kimberly,974
3123,1.05,Ideal,F,VVS2,62.1,54.0,6.52,6.55,4.06,Kimberly,9092
3124,1.27,Ideal,I,SI2,62.1,56.0,6.92,6.96,4.31,Kimberly,5154
3125,0.31,Premium,H,VVS1,61.8,59.0,4.32,4.36,2.68,Kimberly,612
3126,0.71,Ideal,F,SI1,61.4,55.0,5.75,5.82,3.55,Kimberly,2427
3127,0.31,Ideal,D,VS2,62.1,56.0,4.34,4.35,2.7,Kimberly,734
3128,1.03,Very Good,E,SI1,62.6,58.0,6.42,6.49,4.04,Kimberly,5029
3129,0.3,Very Good,E,IF,60.1,60.0,4.3,4.32,2.59,Kimberly,1026
3130,0.41,Premium,F,VVS2,60.6,58.0,4.84,4.79,2.92,Kimberly,1192
3131,1.16,Ideal,D,VVS2,62.0,55.0,6.68,6.72,4.19,Kimberly,12989
3132,0.91,Good,J,VS2,64.2,58.0,6.12,6.09,3.92,Kimberly,2854
3133,0.34,Premium,F,SI1,59.4,62.0,4.59,4.54,2.71,Kimberly,727
3134,0.7,Very Good,E,SI2,59.8,58.0,5.72,5.85,3.46,Kimberly,2263
3135,0.7,Premium,D,VS1,60.6,58.0,5.73,5.75,3.48,Kimberly,3239
3136,1.03,Premium,G,VS1,62.2,57.0,6.47,6.42,4.01,Kimberly,6659
3137,0.42,Premium,G,VVS1,59.8,58.0,4.88,4.85,2.91,Kimberly,1235
3138,1.22,Ideal,F,VVS1,61.2,57.0,6.88,6.92,4.22,Kimberly,13029
3139,0.5,Very Good,E,SI1,60.9,58.0,5.1,5.14,3.12,Kimberly,1331
3140,0.32,Very Good,D,SI1,62.9,56.0,4.38,4.4,2.76,Kimberly,550
3141,0.51,Ideal,G,VS1,61.8,60.0,5.08,5.12,3.15,Kimberly,1757
3142,1.01,Ideal,G,SI1,61.8,57.0,6.41,6.46,3.98,Kimberly,4588
3143,0.32,Premium,H,VS1,62.8,58.0,4.37,4.35,2.74,Kimberly,720
3144,1.0,Very Good,G,VVS2,60.3,62.0,6.41,6.45,3.88,Kimberly,7163
3145,1.0,Very Good,I,SI1,59.3,63.0,6.52,6.47,3.85,Kimberly,3360
3146,2.15,Premium,J,SI1,62.4,60.0,8.24,8.18,5.12,Kimberly,13746
3147,0.84,Premium,E,SI2,62.4,58.0,5.99,5.97,3.74,Kimberly,2574
3148,0.91,Ideal,G,SI1,62.6,57.0,6.16,6.21,3.87,Kimberly,3884
3149,0.91,Premium,D,VS2,62.7,59.0,6.16,6.13,3.85,Kimberly,4637
3150,1.56,Good,I,SI2,58.5,61.0,7.58,7.63,4.45,Kimberly,8048
3151,2.1,Fair,G,SI2,61.4,66.0,8.26,8.19,5.05,Kimberly,11946
3152,0.5,Very Good,F,SI2,62.2,54.0,5.08,5.14,3.18,Kimberly,997
3153,0.31,Ideal,F,IF,61.4,56.0,4.4,4.43,2.71,Kimberly,1168
3154,1.26,Premium,I,SI1,62.0,58.0,6.9,6.87,4.27,Kimberly,6068
3155,1.51,Ideal,H,VS1,62.6,56.0,7.28,7.32,4.57,Kimberly,11580
3156,1.18,Premium,G,SI2,61.4,58.0,6.82,6.77,4.17,Kimberly,5190
3157,1.02,Good,G,I1,57.4,59.0,6.64,6.6,3.8,Kimberly,2344
3158,0.35,Ideal,H,SI1,62.3,57.0,4.55,4.5,2.82,Kimberly,630
3159,0.3,Very Good,G,VS1,61.7,57.0,4.28,4.32,2.65,Kimberly,620
3160,0.51,Ideal,D,VS2,62.7,55.0,5.09,5.12,3.2,Kimberly,1787
3161,0.75,Premium,G,SI2,61.0,58.0,5.9,5.94,3.61,Kimberly,2216
3162,1.06,Ideal,E,VS1,62.1,57.0,6.49,6.52,4.04,Kimberly,8413
3163,0.33,Ideal,F,VS1,61.6,55.0,4.46,4.47,2.76,Kimberly,738
3164,1.01,Premium,D,SI1,62.8,60.0,6.42,6.36,4.01,Kimberly,5939
3165,0.83,Premium,F,VS2,61.9,58.0,6.05,6.01,3.73,Kimberly,3408
3166,0.52,Ideal,F,IF,61.7,56.0,5.16,5.18,3.19,Kimberly,2393
3167,0.83,Ideal,D,SI2,62.0,55.0,6.02,6.05,3.74,Kimberly,3774
3168,0.31,Ideal,F,VS2,60.5,57.0,4.39,4.41,2.66,Kimberly,591
3169,1.5,Fair,J,SI2,65.5,60.0,7.07,7.03,4.62,Kimberly,5268
3170,1.74,Very Good,G,VS2,62.9,57.0,7.64,7.68,4.82,Kimberly,16169
3171,0.4,Ideal,H,VS2,61.8,54.5,4.74,4.77,2.94,Kimberly,764
3172,1.53,Very Good,F,VS1,60.3,58.0,7.48,7.51,4.52,Kimberly,15079
3173,0.51,Ideal,D,VS1,62.1,55.0,5.14,5.2,3.21,Kimberly,1959
3174,1.51,Very Good,F,VS2,63.2,56.0,7.22,7.28,4.58,Kimberly,13080
3175,0.31,Ideal,F,VS2,62.3,55.0,4.3,4.33,2.69,Kimberly,625
3176,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,Kimberly,4515
3177,0.38,Ideal,G,VS1,62.4,54.0,4.63,4.67,2.9,Kimberly,759
3178,0.72,Very Good,F,VVS1,62.1,55.0,5.72,5.78,3.57,Kimberly,3762
3179,1.01,Premium,D,SI1,62.2,53.0,6.47,6.43,4.01,Kimberly,5656
3180,1.26,Premium,E,VS1,60.7,58.0,7.02,7.04,4.27,Kimberly,10367
3181,0.31,Ideal,F,IF,62.2,56.0,4.34,4.31,2.69,Kimberly,1122
3182,1.2,Good,H,VS2,63.3,59.0,6.74,6.78,4.28,Kimberly,6710
3183,1.0,Premium,F,SI1,61.6,60.0,6.31,6.41,3.9,Kimberly,5197
3184,1.51,Premium,F,IF,60.5,61.0,7.5,7.4,4.45,Kimberly,18102
3185,1.21,Very Good,I,SI1,63.3,60.0,6.76,6.69,4.26,Kimberly,4404
3186,0.53,Ideal,D,VS2,61.5,56.0,5.23,5.17,3.2,Kimberly,1956
3187,1.22,Premium,G,VS2,61.2,58.0,6.91,6.81,4.2,Kimberly,7870
3188,0.32,Very Good,E,SI1,63.1,56.0,4.39,4.36,2.76,Kimberly,720
3189,0.72,Very Good,E,SI2,60.1,55.8,5.83,5.85,3.51,Kimberly,2651
3190,0.5,Fair,F,I1,63.8,58.0,5.08,4.97,3.21,Kimberly,713
3191,1.06,Ideal,F,VVS2,61.1,57.0,6.57,6.62,4.03,Kimberly,8619
3192,0.55,Ideal,G,VS2,61.2,55.0,5.3,5.35,3.26,Kimberly,1833
3193,0.52,Premium,F,SI1,62.0,59.0,5.18,5.15,3.2,Kimberly,1112
3194,0.51,Good,G,VVS2,63.1,58.0,5.07,5.11,3.21,Kimberly,1875
3195,1.54,Premium,H,VS2,61.9,61.0,7.41,7.33,4.56,Kimberly,10758
3196,0.71,Very Good,E,VS2,63.8,58.0,5.62,5.66,3.6,Kimberly,2804
3197,2.12,Ideal,F,SI2,62.3,57.0,8.19,8.22,5.11,Kimberly,17730
3198,2.23,Premium,J,SI1,62.4,59.0,8.33,8.36,5.21,Kimberly,14129
3199,1.01,Good,E,VVS2,63.9,58.0,6.37,6.31,4.05,Kimberly,8569
3200,0.53,Ideal,G,SI2,61.6,55.0,5.2,5.25,3.22,Kimberly,1171
3201,1.09,Premium,D,SI2,61.2,60.0,6.64,6.6,4.05,Kimberly,5258
3202,1.25,Ideal,F,VVS2,61.8,57.0,6.9,6.95,4.28,Kimberly,13623
3203,0.52,Very Good,D,SI1,63.8,56.0,5.06,5.1,3.24,Kimberly,1452
3204,0.9,Premium,H,VS2,61.3,59.0,6.24,6.19,3.81,Kimberly,4082
3205,0.35,Ideal,D,SI1,60.8,55.0,4.59,4.56,2.78,Kimberly,827
3206,0.53,Very Good,D,SI1,61.4,57.0,5.2,5.26,3.21,Kimberly,1631
3207,0.3,Premium,D,VS2,62.2,60.0,4.3,4.28,2.67,Kimberly,911
3208,0.28,Ideal,E,VVS2,62.1,56.0,4.21,4.19,2.61,Kimberly,828
3209,0.3,Ideal,D,SI2,62.1,57.0,4.33,4.3,2.68,Kimberly,574
3210,0.76,Ideal,D,VS2,60.2,56.0,5.95,5.92,3.57,Kimberly,3293
3211,0.71,Ideal,F,VS1,62.3,55.0,5.74,5.76,3.58,Kimberly,3281
3212,0.81,Ideal,F,SI2,58.8,57.0,6.14,6.11,3.6,Kimberly,2761
3213,1.0,Good,I,SI1,57.6,61.0,6.56,6.52,3.77,Kimberly,3640
3214,1.35,Very Good,G,VS1,63.4,56.0,7.09,7.01,4.47,Kimberly,8256
3215,1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,Kimberly,9704
3216,1.31,Good,G,SI1,63.4,56.5,6.87,6.97,4.4,Kimberly,7147
3217,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,Kimberly,7563
3218,0.34,Very Good,J,VS1,61.7,58.0,4.41,4.47,2.74,Kimberly,447
3219,1.7,Ideal,H,SI2,62.9,57.0,7.59,7.55,4.76,Kimberly,7664
3220,0.72,Ideal,F,IF,62.0,57.0,5.71,5.78,3.56,Kimberly,4228
3221,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,Kimberly,9890
3222,1.74,Premium,H,SI1,61.6,59.0,7.7,7.62,4.72,Kimberly,8653
3223,0.3,Ideal,F,IF,61.3,58.0,4.29,4.33,2.64,Kimberly,873
3224,1.02,Premium,H,SI1,58.3,59.0,6.68,6.59,3.87,Kimberly,4819
3225,1.5,Very Good,I,VS1,60.4,59.0,7.35,7.42,4.46,Kimberly,9759
3226,1.11,Ideal,I,VS1,63.0,56.0,6.61,6.57,4.15,Kimberly,5152
3227,0.4,Very Good,G,VS2,63.5,56.0,4.7,4.68,2.98,Kimberly,1035
3228,0.91,Good,H,SI1,63.7,60.0,6.16,6.09,3.9,Kimberly,3229
3229,0.26,Very Good,G,VVS1,61.2,56.0,4.1,4.13,2.52,Kimberly,545
3230,1.18,Premium,H,SI1,61.6,59.0,6.82,6.72,4.17,Kimberly,6159
3231,0.57,Ideal,F,VVS2,62.1,56.0,5.31,5.35,3.31,Kimberly,2339
3232,0.73,Very Good,G,VS1,61.0,60.0,5.76,5.84,3.54,Kimberly,2708
3233,0.61,Very Good,D,SI1,58.5,58.0,5.54,5.64,3.27,Kimberly,1828
3234,0.42,Ideal,G,IF,62.7,56.0,4.76,4.77,2.99,Kimberly,1400
3235,0.93,Ideal,E,SI1,61.9,55.0,6.26,6.31,3.89,Kimberly,4511
3236,0.56,Ideal,F,VS1,61.7,55.1,5.29,5.33,3.27,Kimberly,1981
3237,1.23,Very Good,H,VS2,60.2,63.0,6.95,6.91,4.17,Kimberly,7177
3238,0.5,Ideal,F,VVS2,61.8,53.0,5.13,5.18,3.19,Kimberly,2283
3239,0.68,Good,F,SI1,61.2,61.0,5.59,5.63,3.43,Kimberly,1924
3240,0.34,Ideal,G,VVS1,62.1,55.0,4.46,4.49,2.78,Kimberly,895
3241,0.7,Ideal,H,SI1,62.1,56.0,5.74,5.67,3.54,Kimberly,2113
3242,0.32,Ideal,D,VS2,62.1,54.0,4.46,4.4,2.75,Kimberly,972
3243,0.42,Very Good,H,SI1,59.5,57.0,4.78,5.11,2.94,Kimberly,700
3244,1.2,Good,I,SI1,62.3,58.0,6.66,6.72,4.17,Kimberly,5211
3245,0.32,Ideal,F,VVS1,62.0,56.0,4.37,4.41,2.72,Kimberly,867
3246,1.38,Premium,G,SI2,59.2,59.0,7.35,7.29,4.33,Kimberly,6779
3247,0.53,Ideal,G,IF,61.9,56.0,5.18,5.22,3.21,Kimberly,2247
3248,0.3,Ideal,E,VVS1,60.6,57.0,4.35,4.33,2.63,Kimberly,956
3249,0.7,Ideal,D,SI1,62.5,55.0,5.68,5.72,3.56,Kimberly,2726
3250,1.1,Good,E,SI2,63.3,56.0,6.53,6.58,4.15,Kimberly,4065
3251,0.32,Premium,G,SI2,61.0,59.0,4.36,4.42,2.68,Kimberly,421
3252,0.3,Premium,D,SI1,62.1,58.0,4.28,4.25,2.65,Kimberly,709
3253,0.3,Ideal,D,VVS1,61.6,56.0,4.33,4.37,2.68,Kimberly,912
3254,0.3,Ideal,G,VVS2,61.5,56.0,4.34,4.31,2.66,Kimberly,878
3255,0.42,Ideal,F,SI2,61.7,54.0,4.85,4.87,3.0,Kimberly,626
3256,0.4,Ideal,G,VVS1,62.3,54.0,4.75,4.76,2.96,Kimberly,1043
3257,1.91,Premium,I,SI1,59.6,60.0,8.02,7.98,4.77,Kimberly,13092
3258,0.5,Premium,F,I1,61.9,58.0,5.15,5.05,3.15,Kimberly,851
3259,0.44,Premium,E,SI2,59.7,61.0,4.97,4.91,2.95,Kimberly,1028
3260,0.7,Good,E,SI1,61.7,59.0,5.62,5.66,3.48,Kimberly,2459
3261,0.92,Very Good,E,SI1,62.1,58.0,6.15,6.22,3.84,Kimberly,4562
3262,0.7,Premium,G,VS1,62.9,59.0,5.63,5.56,3.52,Kimberly,2329
3263,0.72,Very Good,I,VS1,64.0,56.0,5.65,5.73,3.65,Kimberly,2048
3264,0.92,Ideal,H,VS1,60.9,57.0,6.33,6.29,3.84,Kimberly,4328
3265,0.34,Very Good,H,VVS2,63.0,55.0,4.44,4.48,2.81,Kimberly,686
3266,1.03,Premium,E,VS2,62.5,59.0,6.42,6.44,4.02,Kimberly,6072
3267,0.23,Very Good,D,VVS2,62.6,58.0,3.89,3.94,2.45,Kimberly,530
3268,0.8,Good,F,SI1,63.8,59.0,5.83,5.87,3.73,Kimberly,2941
3269,0.4,Good,E,SI1,64.2,56.0,4.66,4.69,3.0,Kimberly,682
3270,0.4,Very Good,G,VS1,60.8,59.0,4.75,4.83,2.91,Kimberly,791
3271,0.39,Ideal,G,IF,61.9,54.0,4.67,4.73,2.91,Kimberly,1101
3272,0.44,Premium,H,VVS1,60.1,58.0,4.96,4.92,2.97,Kimberly,1196
3273,1.1,Ideal,F,I1,61.3,56.9,6.62,6.68,4.08,Kimberly,3623
3274,0.91,Premium,D,SI2,61.0,61.0,6.24,6.16,3.78,Kimberly,3943
3275,1.2,Premium,J,SI1,61.4,59.0,6.87,6.82,4.2,Kimberly,4838
3276,0.72,Premium,D,VS1,62.7,56.0,5.76,5.69,3.59,Kimberly,3601
3277,0.32,Ideal,H,VS1,61.5,57.0,4.42,4.4,2.71,Kimberly,720
3278,0.32,Ideal,D,VS2,62.5,56.0,4.45,4.38,2.76,Kimberly,972
3279,0.41,Good,J,VS2,64.3,55.0,4.7,4.66,3.01,Kimberly,784
3280,0.31,Ideal,D,SI1,63.0,55.0,4.34,4.32,2.73,Kimberly,732
3281,0.7,Good,D,SI2,63.1,60.0,5.56,5.62,3.53,Kimberly,2221
3282,1.22,Very Good,G,SI1,62.4,57.0,6.75,6.8,4.23,Kimberly,6704
3283,0.4,Very Good,H,VS1,62.7,56.0,4.71,4.73,2.96,Kimberly,807
3284,1.0,Good,H,SI1,62.7,60.0,6.24,6.3,3.93,Kimberly,4389
3285,1.09,Premium,H,SI1,59.5,58.0,6.73,6.71,4.0,Kimberly,5706
3286,1.18,Ideal,D,SI1,61.9,55.0,6.8,6.76,4.2,Kimberly,7216
3287,0.9,Ideal,I,VS1,62.9,58.0,6.13,6.18,3.87,Kimberly,3867
3288,0.72,Ideal,E,SI1,62.6,56.0,5.7,5.73,3.58,Kimberly,2907
3289,0.5,Very Good,D,SI1,63.5,57.0,5.09,5.05,3.22,Kimberly,1257
3290,0.31,Ideal,E,VVS2,62.0,54.0,4.38,4.39,2.72,Kimberly,864
3291,1.2,Premium,F,SI2,62.8,57.0,6.78,6.73,4.24,Kimberly,5988
3292,0.44,Premium,F,VS1,61.9,59.0,4.88,4.84,3.01,Kimberly,1155
3293,1.51,Premium,H,SI1,60.7,59.0,7.43,7.39,4.5,Kimberly,10020
3294,0.51,Good,E,VS2,57.6,62.0,5.33,5.3,3.06,Kimberly,1812
3295,1.77,Premium,I,VS1,62.2,58.0,7.76,7.68,4.8,Kimberly,13085
3296,0.71,Very Good,G,SI1,62.8,55.0,5.68,5.73,3.58,Kimberly,2604
3297,1.03,Premium,G,VS2,62.3,59.0,6.42,6.38,3.99,Kimberly,6327
3298,0.39,Ideal,I,VS2,61.5,55.0,4.7,4.73,2.9,Kimberly,651
3299,1.65,Ideal,G,IF,62.4,55.0,7.61,7.53,4.72,Kimberly,17729
3300,0.56,Very Good,H,SI1,63.2,57.0,5.27,5.23,3.32,Kimberly,1286
3301,1.13,Ideal,D,VVS2,60.1,57.0,6.83,6.78,4.09,Kimberly,12261
3302,0.3,Good,D,SI1,63.4,54.0,4.27,4.31,2.72,Kimberly,515
3303,1.51,Ideal,F,SI1,62.6,57.0,7.31,7.25,4.56,Kimberly,12252
3304,0.4,Ideal,G,VVS1,61.2,56.0,4.77,4.8,2.93,Kimberly,1043
3305,0.81,Good,G,VS2,62.9,58.0,5.88,5.94,3.72,Kimberly,3250
3306,1.01,Very Good,E,SI1,61.5,60.0,6.39,6.42,3.94,Kimberly,5372
3307,1.78,Ideal,H,SI1,62.1,57.0,7.77,7.73,4.81,Kimberly,12843
3308,0.9,Good,F,SI2,57.9,62.0,6.23,6.35,3.64,Kimberly,3470
3309,0.3,Ideal,I,VS2,61.5,58.0,4.28,4.31,2.64,Kimberly,438
3310,0.73,Ideal,G,SI1,62.5,55.0,5.78,5.74,3.6,Kimberly,2351
3311,0.51,Ideal,G,VVS2,62.6,57.0,5.12,5.1,3.2,Kimberly,1974
3312,2.0,Good,J,VS2,61.4,63.0,8.01,8.08,4.94,Kimberly,13542
3313,2.35,Premium,J,VS1,60.7,60.0,8.64,8.6,5.23,Kimberly,14399
3314,0.31,Ideal,G,IF,61.7,55.0,4.37,4.39,2.7,Kimberly,871
3315,0.55,Very Good,F,SI1,60.7,57.0,5.27,5.3,3.21,Kimberly,1316
3316,0.7,Ideal,G,SI2,61.8,53.0,5.73,5.69,3.53,Kimberly,2480
3317,1.02,Ideal,G,SI1,60.3,56.0,6.57,6.54,3.95,Kimberly,4708
3318,1.02,Ideal,D,SI1,61.3,56.0,6.48,6.53,3.99,Kimberly,6157
3319,1.01,Very Good,G,VVS2,62.8,58.0,6.38,6.42,4.02,Kimberly,7234
3320,0.51,Premium,G,VS2,61.1,58.0,5.17,5.2,3.17,Kimberly,1381
3321,1.7,Ideal,I,VVS2,61.7,57.0,7.67,7.62,4.71,Kimberly,13247
3322,0.34,Premium,G,SI2,62.8,58.0,4.46,4.43,2.79,Kimberly,574
3323,1.0,Very Good,G,SI1,62.6,57.0,6.31,6.37,3.97,Kimberly,4413
3324,0.43,Good,F,SI1,63.7,57.0,4.79,4.73,3.04,Kimberly,984
3325,1.05,Ideal,I,SI2,60.9,57.0,6.55,6.62,4.01,Kimberly,4163
3326,0.3,Ideal,I,VS1,62.2,56.0,4.27,4.31,2.67,Kimberly,518
3327,1.52,Premium,H,SI1,62.5,58.0,7.34,7.28,4.57,Kimberly,10330
3328,0.4,Very Good,E,SI2,62.1,60.0,4.65,4.69,2.9,Kimberly,644
3329,0.42,Premium,F,VS1,61.8,59.0,4.81,4.83,2.98,Kimberly,1031
3330,0.55,Ideal,E,VS2,62.0,55.0,5.26,5.28,3.27,Kimberly,1816
3331,0.95,Premium,I,SI2,62.5,58.0,6.3,6.24,3.92,Kimberly,3237
3332,0.71,Very Good,G,SI1,61.7,59.0,5.72,5.78,3.55,Kimberly,2448
3333,0.3,Ideal,E,VVS2,62.0,56.0,4.3,4.34,2.68,Kimberly,742
3334,0.5,Very Good,G,VS2,60.3,58.0,5.15,5.19,3.12,Kimberly,1354
3335,0.32,Ideal,D,SI2,61.7,55.0,4.38,4.4,2.71,Kimberly,477
3336,0.9,Very Good,I,SI1,61.8,56.0,6.19,6.24,3.84,Kimberly,3407
3337,1.69,Good,G,VS1,58.1,58.0,7.8,7.84,4.54,Kimberly,17338
3338,2.04,Premium,I,VS2,61.0,61.0,8.14,8.08,4.95,Kimberly,16768
3339,0.7,Very Good,F,VVS1,60.6,60.0,5.67,5.7,3.45,Kimberly,3536
3340,0.4,Premium,E,VS2,59.3,59.0,4.77,4.81,2.84,Kimberly,912
3341,0.32,Ideal,G,VS1,62.3,56.0,4.39,4.37,2.73,Kimberly,828
3342,0.93,Very Good,E,SI2,63.0,58.0,6.16,6.18,3.89,Kimberly,3746
3343,1.02,Ideal,F,VS2,62.0,57.0,6.46,6.44,4.0,Kimberly,7026
3344,0.57,Ideal,E,VVS2,61.9,54.3,5.31,5.33,3.29,Kimberly,2615
3345,0.4,Ideal,J,VVS1,62.4,54.0,4.73,4.75,2.96,Kimberly,704
3346,0.7,Ideal,F,SI1,62.2,55.0,5.73,5.68,3.55,Kimberly,2697
3347,0.41,Ideal,F,VVS1,61.8,55.0,4.78,4.76,2.95,Kimberly,1356
3348,0.46,Ideal,I,VS2,62.3,59.0,4.95,4.91,3.07,Kimberly,952
3349,1.01,Ideal,D,VVS2,61.5,57.0,6.43,6.48,3.97,Kimberly,11015
3350,0.9,Good,G,VS2,63.7,60.0,6.02,5.98,3.82,Kimberly,4309
3351,1.27,Ideal,G,VS2,62.8,54.0,6.92,6.87,4.33,Kimberly,8705
3352,0.57,Ideal,D,VS2,62.1,56.0,5.29,5.34,3.3,Kimberly,1864
3353,1.13,Very Good,F,SI1,61.2,59.0,6.72,6.75,4.12,Kimberly,5017
3354,1.14,Very Good,G,SI2,62.4,60.0,6.6,6.67,4.14,Kimberly,4875
3355,1.06,Premium,E,VS2,62.3,58.0,6.52,6.49,4.05,Kimberly,6838
3356,0.7,Very Good,I,SI2,58.8,60.0,5.8,5.83,3.42,Kimberly,1876
3357,0.33,Very Good,H,VS1,62.9,59.0,4.35,4.4,2.75,Kimberly,579
3358,0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6,Kimberly,2762
3359,0.7,Premium,E,VS1,58.4,59.0,5.91,5.83,3.43,Kimberly,2854
3360,0.3,Very Good,E,VVS1,62.6,56.0,4.26,4.27,2.67,Kimberly,862
3361,0.53,Ideal,G,VVS2,62.2,54.0,5.22,5.17,3.23,Kimberly,2051
3362,0.72,Very Good,E,SI2,62.2,59.0,5.72,5.79,3.58,Kimberly,2401
3363,0.73,Good,I,SI2,63.7,57.0,5.76,5.67,3.63,Kimberly,1610
3364,1.28,Ideal,H,SI2,61.8,57.0,7.0,6.97,4.32,Kimberly,5676
3365,0.71,Ideal,E,VS2,62.1,57.0,5.71,5.75,3.56,Kimberly,3191
3366,0.3,Very Good,D,SI1,63.0,58.0,4.24,4.27,2.68,Kimberly,552
3367,0.9,Ideal,I,SI1,60.8,57.0,6.25,6.22,3.79,Kimberly,3251
3368,1.01,Good,G,VVS2,63.2,59.0,6.34,6.38,4.02,Kimberly,7528
3369,1.09,Premium,F,SI1,60.9,59.0,6.59,6.64,4.03,Kimberly,5287
3370,0.31,Premium,E,VS2,61.0,58.0,4.39,4.37,2.67,Kimberly,872
3371,0.36,Very Good,G,VS1,62.9,57.0,4.56,4.6,2.88,Kimberly,726
3372,0.7,Ideal,D,SI1,61.8,56.0,5.7,5.72,3.53,Kimberly,3454
3373,0.82,Ideal,E,SI2,62.2,57.0,6.0,5.97,3.72,Kimberly,3012
3374,0.52,Ideal,E,VS2,61.0,55.0,5.2,5.26,3.19,Kimberly,1651
3375,0.31,Ideal,G,IF,62.1,54.0,4.36,4.37,2.71,Kimberly,891
3376,0.33,Premium,F,VS2,60.8,58.0,4.47,4.44,2.71,Kimberly,854
3377,0.9,Good,I,VS2,62.4,65.0,6.09,6.12,3.81,Kimberly,3162
3378,0.81,Very Good,H,SI2,62.1,56.0,5.95,5.99,3.71,Kimberly,2504
3379,2.29,Premium,I,VS2,60.8,60.0,8.5,8.47,5.16,Kimberly,18823
3380,0.33,Very Good,H,VS2,62.8,59.0,4.38,4.44,2.77,Kimberly,521
3381,0.3,Ideal,I,VVS2,62.5,53.6,4.29,4.33,2.69,Kimberly,532
3382,0.9,Very Good,F,SI2,63.4,59.0,6.07,6.11,3.86,Kimberly,3605
3383,1.01,Premium,H,VS2,62.3,60.0,6.32,6.27,3.92,Kimberly,4909
3384,0.81,Ideal,I,SI1,61.3,56.0,6.27,6.23,3.83,Kimberly,3043
3385,0.7,Premium,G,VS2,62.9,62.0,5.63,5.57,3.52,Kimberly,2550
3386,1.71,Premium,I,VS2,62.4,61.0,7.67,7.59,4.76,Kimberly,9384
3387,1.01,Very Good,E,VS1,60.4,60.0,6.43,6.48,3.9,Kimberly,8403
3388,1.11,Premium,F,VS2,63.0,56.0,6.62,6.49,4.15,Kimberly,6589
3389,1.01,Ideal,H,VS1,62.6,57.0,6.4,6.37,4.0,Kimberly,5882
3390,1.03,Premium,G,VS2,58.9,59.0,6.65,6.59,3.9,Kimberly,6229
3391,0.57,Ideal,E,VS1,61.8,55.0,5.34,5.39,3.32,Kimberly,2192
3392,0.59,Good,E,SI2,57.4,62.0,5.53,5.49,3.16,Kimberly,1327
3393,0.27,Very Good,E,VVS1,60.0,58.0,4.21,4.22,2.53,Kimberly,544
3394,0.71,Ideal,G,SI1,61.6,56.0,5.73,5.76,3.54,Kimberly,2649
3395,0.27,Very Good,F,VVS2,61.8,57.0,4.15,4.17,2.57,Kimberly,682
3396,2.06,Premium,G,SI2,61.7,58.0,8.2,8.15,5.04,Kimberly,17012
3397,0.53,Ideal,G,VVS2,62.5,54.0,5.19,5.21,3.25,Kimberly,1818
3398,1.2,Fair,H,SI2,64.8,60.0,6.55,6.59,4.26,Kimberly,4916
3399,0.42,Very Good,D,VS1,58.4,61.0,4.91,4.95,2.88,Kimberly,912
3400,0.31,Ideal,G,IF,61.4,56.0,4.38,4.41,2.7,Kimberly,891
3401,0.7,Premium,H,VS1,60.6,59.0,5.81,5.74,3.5,Kimberly,2636
3402,1.5,Good,D,VS2,64.1,54.0,7.17,7.24,4.62,Kimberly,13232
3403,0.7,Fair,H,SI1,65.5,57.0,5.59,5.55,3.65,Kimberly,1865
3404,1.01,Premium,F,SI1,59.8,60.0,6.57,6.53,3.92,Kimberly,5345
3405,0.32,Ideal,F,VS2,62.5,56.0,4.38,4.36,2.73,Kimberly,828
3406,1.57,Ideal,I,SI1,62.2,56.0,7.42,7.47,4.63,Kimberly,10633
